Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
53971,1.36,2.00,-0.52,10.60
53982,1.35,2.00,-0.17,11.59
53992,1.36,2.00,0.21,12.56
54001,1.36,2.00,0.61,13.17
54011,1.36,2.00,1.02,13.50
54022,1.35,2.00,1.42,13.24
54032,1.35,2.00,1.84,13.89
54041,1.36,2.00,2.23,12.94
54051,1.36,2.00,2.61,12.65
54062,1.35,2.00,2.96,11.74
54072,1.36,2.00,3.28,10.78
54082,1.37,2.00,3.57,9.86
54091,1.36,2.00,3.82,8.64
54102,1.37,2.00,4.01,6.73
54112,1.36,2.00,4.15,5.21
54122,1.38,2.00,4.23,3.28
54131,1.38,2.00,4.27,2.03
54141,1.39,2.00,4.24,-0.19
54152,1.38,2.00,4.14,-2.37
54162,1.40,2.00,3.98,-4.29
54172,1.39,2.00,3.78,-5.54
54181,1.38,2.00,3.52,-7.43
54192,1.41,2.00,3.21,-9.06
54202,1.41,2.00,2.84,-10.97
54212,1.41,2.00,2.44,-11.92
54221,1.42,2.00,2.00,-13.23
54232,1.41,2.00,1.54,-13.86
54242,1.42,2.00,1.05,-14.83
54252,1.42,2.00,0.55,-15.14
54262,1.42,2.00,0.05,-15.21
54272,1.42,2.00,-0.44,-14.87
54282,1.42,2.00,-0.91,-14.29
54292,1.40,2.00,-1.37,-13.96
54302,1.40,2.00,-1.79,-12.72
54312,1.42,2.00,-2.17,-11.53
54322,1.42,2.00,-2.51,-10.30
54332,1.40,2.00,-2.81,-8.99
54342,1.40,2.00,-3.04,-6.82
54352,1.40,2.00,-3.21,-4.93
54362,1.41,2.00,-3.33,-3.39
54372,1.40,2.00,-3.38,-1.19
54382,1.40,2.00,-3.36,1.01
54392,1.40,2.00,-3.29,2.59
54403,1.39,2.00,-3.14,5.13
54412,1.37,2.00,-2.94,6.75
54422,1.38,2.00,-2.68,8.63
54432,1.37,2.00,-2.37,10.22
54443,1.38,2.00,-2.00,12.12
54452,1.38,2.00,-1.59,13.41
54462,1.37,2.00,-1.16,14.03
54472,1.36,2.00,-0.69,15.35
54482,1.37,2.00,-0.20,15.94
54493,1.38,2.00,0.29,16.03
54502,1.37,2.00,0.78,16.07
54512,1.37,2.00,1.26,15.75
54522,1.37,2.00,1.71,14.82
54533,1.38,2.00,2.13,13.88
54542,1.38,2.00,2.53,13.28
54552,1.38,2.00,2.88,11.71
54562,1.38,2.00,3.18,10.17
54573,1.38,2.00,3.42,8.30
54583,1.39,2.00,3.60,6.40
54592,1.37,2.00,3.71,4.29
54602,1.39,2.00,3.75,2.02
54612,1.40,2.00,3.72,-0.19
54623,1.41,2.00,3.62,-2.41
54633,1.40,2.00,3.46,-4.29
54642,1.41,2.00,3.23,-6.52
54652,1.42,2.00,2.92,-9.05
54663,1.42,2.00,2.56,-10.64
54673,1.42,2.00,2.13,-12.86
54682,1.40,2.00,1.67,-13.78
54692,1.43,2.00,1.16,-15.44
54703,1.42,2.00,0.62,-16.34
54713,1.43,2.00,0.06,-17.05
54723,1.42,2.00,-0.50,-17.05
54732,1.43,2.00,-1.07,-17.44
54743,1.44,2.00,-1.64,-17.49
54753,1.42,2.00,-2.18,-16.51
54763,1.42,2.00,-2.71,-16.24
54772,1.43,2.00,-3.19,-14.71
54782,1.43,2.00,-3.62,-13.14
54793,1.43,2.00,-4.02,-12.22
54803,1.39,2.00,-4.36,-10.27
54813,1.42,2.00,-4.64,-8.48
54822,1.42,2.00,-4.83,-5.66
54833,1.40,2.00,-4.97,-4.06
54843,1.40,2.00,-5.01,-0.91
54853,1.41,2.00,-4.98,1.26
54862,1.39,2.00,-4.88,3.50
54873,1.40,2.00,-4.73,5.06
54883,1.39,2.00,-4.50,7.60
54893,1.39,2.00,-4.19,10.12
54903,1.38,2.00,-3.82,12.06
54913,1.39,2.00,-3.40,13.62
54923,1.39,2.00,-2.93,15.22
54933,1.38,2.00,-2.42,16.54
54943,1.38,2.00,-1.89,17.17
54952,1.38,2.00,-1.35,17.49
54963,1.36,2.00,-0.79,18.22
54973,1.37,2.00,-0.25,17.61
54983,1.38,2.00,0.29,17.60
54993,1.36,2.00,0.80,16.73
55003,1.38,2.00,1.28,15.74
55013,1.38,2.00,1.70,13.91
55023,1.38,2.00,2.09,12.95
55033,1.39,2.00,2.43,11.36
55043,1.39,2.00,2.70,9.23
55053,1.38,2.00,2.89,6.73
55063,1.39,2.00,3.01,4.53
55073,1.39,2.00,3.06,2.32
55084,1.39,2.00,3.02,-0.50
55093,1.40,2.00,2.91,-2.72
55103,1.39,2.00,2.73,-4.90
55113,1.40,2.00,2.49,-6.84
55123,1.39,2.00,2.17,-9.32
55134,1.40,2.00,1.78,-11.58
55143,1.40,2.00,1.33,-13.43
55153,1.40,2.00,0.85,-14.45
55163,1.40,2.00,0.33,-15.69
55174,1.41,2.00,-0.23,-16.98
55183,1.43,2.00,-0.80,-17.42
55193,1.42,2.00,-1.38,-17.71
55203,1.41,2.00,-1.95,-17.40
55214,1.42,2.00,-2.51,-17.13
55224,1.40,2.00,-3.04,-16.21
55233,1.40,2.00,-3.54,-15.25
55243,1.41,2.00,-4.00,-14.08
55254,1.42,2.00,-4.40,-12.20
55264,1.39,2.00,-4.75,-10.61
55273,1.41,2.00,-5.04,-8.81
55283,1.40,2.00,-5.27,-6.87
