XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
12870,1.66,2.00,1.03,0.95
12880,1.66,2.00,1.07,0.79
12891,1.67,2.00,1.11,0.77
12901,1.65,2.00,1.14,0.67
12910,1.67,2.00,1.16,0.47
12920,1.68,2.00,1.19,0.62
12931,1.69,2.00,1.23,0.76
12941,1.69,2.00,1.23,0.13
12951,1.68,2.00,1.25,0.46
12960,1.69,2.00,1.26,0.30
12971,1.68,2.00,1.26,0.16
12981,1.69,2.00,1.26,0.15
12991,1.69,2.00,1.25,-0.01
13000,1.69,2.00,1.25,0.14
13010,1.70,2.00,1.23,-0.18
13021,1.70,2.00,1.21,-0.18
13031,1.70,2.00,1.19,-0.18
13041,1.71,2.00,1.17,-0.20
13050,1.72,2.00,1.15,-0.21
13061,1.70,2.00,1.13,-0.16
13071,1.69,2.00,1.11,-0.15
13081,1.72,2.00,1.07,-0.53
13090,1.70,2.00,1.05,-0.16
13101,1.71,2.00,1.04,-0.01
13111,1.72,2.00,1.02,-0.19
13121,1.74,2.00,1.02,0.07
13131,1.71,2.00,1.01,0.00
13140,1.74,2.00,1.01,0.09
13151,1.73,2.00,1.00,-0.04
13161,1.73,2.00,1.01,0.27
13171,1.74,2.00,1.03,0.42
13180,1.75,2.00,1.03,0.09
13191,1.74,2.00,1.05,0.42
13201,1.75,2.00,1.09,0.73
13211,1.74,2.00,1.10,0.27
13221,1.76,2.00,1.14,0.70
13231,1.75,2.00,1.19,0.90
13241,1.76,2.00,1.23,0.72
13251,1.75,2.00,1.27,0.74
13261,1.76,2.00,1.33,1.04
13272,1.74,2.00,1.38,0.94
13281,1.77,2.00,1.42,0.71
13291,1.76,2.00,1.49,1.21
13301,1.78,2.00,1.55,1.02
13312,1.77,2.00,1.60,0.89
13321,1.76,2.00,1.65,0.92
13331,1.78,2.00,1.72,1.20
13341,1.79,2.00,1.77,0.85
13351,1.79,2.00,1.82,0.87
13362,1.79,2.00,1.88,1.03
13371,1.78,2.00,1.91,0.58
13381,1.77,2.00,1.94,0.61
13391,1.79,2.00,1.99,0.88
13402,1.81,2.00,2.03,0.69
13411,1.79,2.00,2.04,0.26
13421,1.80,2.00,2.06,0.40
13431,1.80,2.00,2.09,0.57
13442,1.80,2.00,2.09,0.10
13452,1.80,2.00,2.09,0.11
13461,1.78,2.00,2.10,0.31
13471,1.81,2.00,2.08,-0.23
13481,1.81,2.00,2.07,-0.09
13492,1.81,2.00,2.06,-0.08
13501,1.81,2.00,2.05,-0.07
13511,1.82,2.00,2.01,-0.57
13521,1.81,2.00,2.00,-0.07
13532,1.81,2.00,1.99,-0.07
13542,1.82,2.00,1.96,-0.40
13551,1.82,2.00,1.93,-0.40
13561,1.82,2.00,1.92,-0.08
13572,1.82,2.00,1.92,0.08
13582,1.83,2.00,1.90,-0.24
13591,1.83,2.00,1.90,0.07
13601,1.83,2.00,1.89,-0.09
13612,1.83,2.00,1.88,-0.09
13622,1.83,2.00,1.89,0.23
13632,1.84,2.00,1.90,0.22
13641,1.84,2.00,1.92,0.37
13651,1.84,2.00,1.92,0.06
13662,1.84,2.00,1.94,0.38
13672,1.83,2.00,1.96,0.40
13681,1.85,2.00,1.98,0.36
13691,1.86,2.00,2.01,0.50
13702,1.84,2.00,2.03,0.39
13712,1.85,2.00,2.06,0.54
13722,1.86,2.00,2.09,0.52
13731,1.87,2.00,2.12,0.50
13742,1.85,2.00,2.14,0.40
13752,1.85,2.00,2.16,0.40
13762,1.87,2.00,2.18,0.36
13772,1.86,2.00,2.19,0.22
13782,1.87,2.00,2.20,0.21
13792,1.85,2.00,2.20,0.09
13802,1.87,2.00,2.20,0.06
13812,1.87,2.00,2.19,-0.11
13821,1.88,2.00,2.17,-0.27
13832,1.88,2.00,2.16,-0.11
13842,1.88,2.00,2.13,-0.43
13852,1.88,2.00,2.10,-0.43
13862,1.88,2.00,2.06,-0.58
13872,1.88,2.00,2.02,-0.59
13882,1.90,2.00,1.98,-0.62
13892,1.89,2.00,1.93,-0.75
13902,1.88,2.00,1.89,-0.58
13912,1.89,2.00,1.83,-0.92
13922,1.89,2.00,1.78,-0.76
13932,1.87,2.00,1.75,-0.40
13942,1.90,2.00,1.70,-0.77
13953,1.90,2.00,1.65,-0.76
13962,1.90,2.00,1.62,-0.45
13972,1.90,2.00,1.60,-0.29
13982,1.90,2.00,1.56,-0.60
13992,1.91,2.00,1.53,-0.48
14002,1.90,2.00,1.53,0.02
14012,1.90,2.00,1.52,-0.13
14022,1.90,2.00,1.51,-0.13
14032,1.91,2.00,1.51,0.02
14043,1.91,2.00,1.52,0.18
14052,1.91,2.00,1.52,0.02
14062,1.91,2.00,1.54,0.34
14072,1.91,2.00,1.56,0.33
14083,1.91,2.00,1.57,0.19
14093,1.89,2.00,1.59,0.38
14102,1.91,2.00,1.62,0.50
14112,1.91,2.00,1.65,0.50
14123,1.90,2.00,1.66,0.22
14133,1.92,2.00,1.70,0.65
14142,1.92,2.00,1.72,0.34
14152,1.92,2.00,1.73,0.19
14162,1.92,2.00,1.76,0.50
14173,1.91,2.00,1.77,0.20
14182,1.92,2.00,1.77,0.02
14192,1.92,2.00,1.78,0.18
14202,1.91,2.00,1.79,0.22
14213,1.92,2.00,1.77,-0.28
14223,1.92,2.00,1.76,-0.11
14232,1.92,2.00,1.75,-0.12
14242,1.91,2.00,1.72,-0.41
14253,1.91,2.00,1.69,-0.41
14263,1.93,2.00,1.66,-0.44
14273,1.92,2.00,1.62,-0.59
14282,1.92,2.00,1.58,-0.59
14292,1.93,2.00,1.53,-0.76
14303,1.91,2.00,1.50,-0.41
14313,1.93,2.00,1.45,-0.77
14322,1.93,2.00,1.39,-0.93
14332,1.93,2.00,1.35,-0.59
14343,1.91,2.00,1.30,-0.72
14353,1.93,2.00,1.25,-0.75
14363,1.92,2.00,1.21,-0.58
14372,1.92,2.00,1.18,-0.41
14383,1.91,2.00,1.14,-0.56
14393,1.91,2.00,1.11,-0.40
14403,1.93,2.00,1.09,-0.28
14412,1.91,2.00,1.07,-0.23
14423,1.93,2.00,1.06,-0.12
14433,1.93,2.00,1.05,-0.12
14443,1.93,2.00,1.06,0.19
14453,1.93,2.00,1.06,0.04
14462,1.93,2.00,1.09,0.52
14473,1.91,2.00,1.11,0.41
14483,1.93,2.00,1.13,0.36
14493,1.91,2.00,1.17,0.71
14502,1.93,2.00,1.21,0.67
14513,1.93,2.00,1.24,0.52
14523,1.91,2.00,1.28,0.72
14533,1.93,2.00,1.34,1.00
14543,1.92,2.00,1.38,0.70
14553,1.91,2.00,1.43,0.89
14563,1.93,2.00,1.47,0.69
14573,1.93,2.00,1.51,0.69
14583,1.93,2.00,1.55,0.70
14594,1.93,2.00,1.58,0.54
14603,1.91,2.00,1.61,0.59
14613,1.93,2.00,1.62,0.22
14623,1.92,2.00,1.63,0.25
14633,1.93,2.00,1.63,0.07
14643,1.93,2.00,1.62,-0.08
14653,1.91,2.00,1.59,-0.35
14663,1.93,2.00,1.56,-0.39
14673,1.92,2.00,1.52,-0.54
14684,1.92,2.00,1.46,-0.84
14693,1.93,2.00,1.39,-1.04
14703,1.93,2.00,1.32,-1.02
14713,1.91,2.00,1.23,-1.31
14724,1.93,2.00,1.14,-1.34
14733,1.93,2.00,1.05,-1.34
14743,1.93,2.00,0.96,-1.34
14753,1.93,2.00,0.86,-1.50
14764,1.93,2.00,0.76,-1.50
14774,1.93,2.00,0.66,-1.51
14783,1.93,2.00,0.56,-1.51
14793,1.92,2.00,0.47,-1.34
14803,1.91,2.00,0.39,-1.16
14814,1.91,2.00,0.31,-1.16
14823,1.91,2.00,0.24,-1.01
14833,1.91,2.00,0.18,-0.84
14843,1.93,2.00,0.13,-0.73
14854,1.92,2.00,0.08,-0.72
14864,1.92,2.00,0.05,-0.40
14873,1.92,2.00,0.03,-0.24
14883,1.93,2.00,0.02,-0.11
14894,1.92,2.00,0.02,0.06
14904,1.92,2.00,0.02,0.06
14914,1.92,2.00,0.03,0.22
14923,1.92,2.00,0.04,0.22
14934,1.92,2.00,0.07,0.54
14944,1.92,2.00,0.10,0.54
14954,1.92,2.00,0.11,0.22
14963,1.93,2.00,0.14,0.52
14973,1.93,2.00,0.17,0.52
14984,1.92,2.00,0.19,0.38
14994,1.93,2.00,0.20,0.22
15004,1.93,2.00,0.23,0.53
15013,1.93,2.00,0.23,0.06
15024,1.93,2.00,0.22,-0.10
15034,1.92,2.00,0.22,0.07
15044,1.93,2.00,0.20,-0.25
15053,1.92,2.00,0.16,-0.56
15064,1.93,2.00,0.12,-0.58
15074,1.92,2.00,0.07,-0.70
15084,1.91,2.00,-0.01,-1.16
15094,1.93,2.00,-0.09,-1.20
15104,1.92,2.00,-0.18,-1.34
15114,1.93,2.00,-0.28,-1.52
15124,1.93,2.00,-0.40,-1.83
15134,1.92,2.00,-0.51,-1.65
15144,1.93,2.00,-0.65,-2.16
15154,1.91,2.00,-0.79,-2.11
15164,1.93,2.00,-0.92,-2.00
15174,1.93,2.00,-1.07,-2.32
15184,1.93,2.00,-1.21,-2.17
15194,1.93,2.00,-1.35,-2.17
15204,1.93,2.00,-1.48,-2.02
15214,1.92,2.00,-1.61,-2.01
15224,1.93,2.00,-1.74,-2.02
15235,1.91,2.00,-1.84,-1.52
